URL,Institution,Conference,Games,Goals,Assists,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,Corners,PK,PK Att,GWG
https://stats.ncaa.org/team/664/stats/16641,Southern U.,SWAC,2,,,0,6,1,17,,2,2,,
https://stats.ncaa.org/team/665/stats/16641,Southern Utah,WAC,2,2,1,5,35,15,15,,3,9,1,1
https://stats.ncaa.org/team/667/stats/16641,St. Bonaventure,Atlantic 10,2,2,1,5,10,5,20,,1,,1,1
https://stats.ncaa.org/team/596/stats/16641,St. John's (NY),Big East,1,2,,4,19,10,12,,,10,1,1
https://stats.ncaa.org/team/603/stats/16641,St. Thomas (MN),Summit League,1,1,,2,16,4,11,,1,8,1,1
https://stats.ncaa.org/team/620/stats/16641,Stanford,ACC,2,4,3,11,47,23,14,,1,14,1,1
https://stats.ncaa.org/team/674/stats/16641,Stetson,ASUN,2,2,2,6,21,10,12,,2,8,,
https://stats.ncaa.org/team/678/stats/16641,Stonehill,NEC,2,,,0,7,5,14,,,,,
https://stats.ncaa.org/team/682/stats/16641,Stony Brook,CAA,2,4,5,13,25,14,20,,3,11,,
https://stats.ncaa.org/team/683/stats/16641,Syracuse,ACC,2,3,1,7,14,6,11,,2,9,,
https://stats.ncaa.org/team/688/stats/16641,Tarleton St.,WAC,2,1,1,3,24,9,24,,,10,,
https://stats.ncaa.org/team/698/stats/16641,TCU,Big 12,2,6,5,17,39,14,15,,2,14,,1
https://stats.ncaa.org/team/1395/stats/16641,Temple,AAC,2,,,0,13,9,16,,1,3,,
https://stats.ncaa.org/team/690/stats/16641,Tennessee,SEC,2,2,1,5,24,9,22,,5,11,,
https://stats.ncaa.org/team/694/stats/16641,Tennessee Tech,OVC,2,3,4,10,23,11,15,,1,8,,
https://stats.ncaa.org/team/692/stats/16641,Tex. A&M-Commerce,Southland,1,4,3,11,13,6,11,,3,8,,
https://stats.ncaa.org/team/199/stats/16641,Texas,SEC,2,5,5,15,60,29,12,,,18,,
https://stats.ncaa.org/team/703/stats/16641,Texas A&M,SEC,1,5,6,16,25,11,6,,,6,,
https://stats.ncaa.org/team/697/stats/16641,Texas Southern,SWAC,2,1,1,3,2,1,20,,2,2,,
https://stats.ncaa.org/team/699/stats/16641,Texas St.,Sun Belt,1,1,,2,11,5,7,,3,5,,
https://stats.ncaa.org/team/670/stats/16641,Texas Tech,Big 12,2,4,4,12,39,18,23,,,9,,1
https://stats.ncaa.org/team/700/stats/16641,The Citadel,SoCon,2,4,2,10,19,8,14,,,9,,
https://stats.ncaa.org/team/141/stats/16641,Toledo,MAC,2,3,2,8,24,14,20,,,11,,
https://stats.ncaa.org/team/709/stats/16641,Towson,CAA,1,,,0,3,1,1,,2,2,,
https://stats.ncaa.org/team/711/stats/16641,Troy,Sun Belt,1,2,2,6,16,4,7,,2,8,,
https://stats.ncaa.org/team/716/stats/16641,Tulsa,AAC,2,5,6,16,32,17,24,1,2,11,,
https://stats.ncaa.org/team/719/stats/16641,UAB,AAC,2,2,1,5,14,10,12,,3,7,1,1
https://stats.ncaa.org/team/9/stats/16641,UAlbany,America East,1,3,2,8,18,12,14,,,3,,
https://stats.ncaa.org/team/14/stats/16641,UC Davis,Big West,2,4,5,13,25,12,19,,1,5,1,1
https://stats.ncaa.org/team/108/stats/16641,UC Irvine,Big West,2,3,2,8,16,8,19,,3,7,,
https://stats.ncaa.org/team/109/stats/16641,UC Riverside,Big West,2,,,0,7,4,15,,2,3,,
https://stats.ncaa.org/team/111/stats/16641,UC San Diego,Big West,2,1,1,3,12,4,15,,2,7,,
https://stats.ncaa.org/team/112/stats/16641,UC Santa Barbara,Big West,1,,,0,10,1,8,,,3,,
https://stats.ncaa.org/team/104/stats/16641,UCF,Big 12,1,5,9,19,12,6,7,,3,4,,
https://stats.ncaa.org/team/128/stats/16641,UCLA,Big Ten,2,6,3,15,41,18,13,,,10,,
https://stats.ncaa.org/team/110/stats/16641,UConn,Big East,1,2,2,6,23,10,1,,1,6,,
https://stats.ncaa.org/team/164/stats/16641,UIC,MVC,1,2,2,6,14,8,14,,1,6,,
https://stats.ncaa.org/team/302/stats/16641,UIW,Southland,2,1,1,3,15,8,13,,1,5,,
https://stats.ncaa.org/team/2743/stats/16641,ULM,Sun Belt,2,11,7,29,64,36,15,,3,4,,
